experiment_id,start_date,year,stimulus_pair_name,type,construction,pattern_geometry_or_descriptor,rewarding_pattern_notes
perpPara_240723,24/07/2023,2023,Perpendicular-parallel stripes,"Artificial, high optic-flow contrast",Electrical tape on LEE UV transparent film,Stripes oriented 0 deg or 90 deg to arm axis,Rewarded orientation uncertain in notes
thickOb_140823,14/08/2023,2023,Thick oblique stripe,"Artificial, low optic-flow contrast",Single thick black stripe,Single stripe at +45 deg or -45 deg to arm axis,Left pattern rewarding (right-to-left orientation along travel direction)
thinOb_150823,15/08/2023,2023,Thin oblique stripes,"Artificial, low optic-flow contrast",Electrical tape on LEE UV transparent film,Multiple 1.8 cm stripes with 1.8 cm gaps at +45 deg or -45 deg,Left pattern rewarding (right-to-left orientation along travel direction)
natcan1_170923,17/09/2023,2023,Naturalistic canopy pair 1,Naturalistic,Canopy images printed on transparency,Thresholded canopy pair based on Holldobler stimuli,Left pattern rewarding (L-shaped canopy gap)
thickObDiff_210924,21/09/2024,2024,Thick oblique stripe with diffuser manipulation,Artificial,Black stripe with diffuser variants,Diffuser manipulations introduced to test possible reflection cues,Rewarded orientation assumed same as earlier oblique experiments
perpPara_170725,17/07/2025,2025,Perpendicular-parallel stripes,"Artificial, high optic-flow contrast",Electrical tape on LEE UV transparent film,Stripes oriented 0 deg or 90 deg to arm axis,Parallel pattern was rewarding
brightDiff_250725,25/07/2025,2025,Brightness difference (clear vs black roof),Artificial,One clear roof and one blacked-out roof,Discrimination based on brightness and/or visible sky structure,Reward likely clear roof (noted as uncertain)
natcan2_300725,30/07/2025,2025,Naturalistic canopy pair 2,Naturalistic,Canopy images printed on LEE UV transparent film,P1010022 vs P1010085 pair,Left pattern (P1010022) rewarding
natcan3_080825,08/08/2025,2025,Naturalistic canopy pair 3 (3D print),Naturalistic,3D-printed canopy patterns,Howlers_1 vs P1010026 pair,Left canopy (P1010026) rewarding
natcan4_180825,18/08/2025,2025,Naturalistic canopy pair 4 (3D print variant),Naturalistic,3D-printed canopy patterns,Variant of natcan2 with modified processing/orientation,Left pattern (P1010022) rewarding
natcan5_290825,29/08/2025,2025,Naturalistic canopy pair 5 (orientation manipulation),Naturalistic,Two identical 3D-printed patterns from one canopy subsection,Identical pattern identity with different orientations to signal reward,Left pattern rewarding
natcan6_070925,07/09/2025,2025,Naturalistic canopy pair 6 (Holldobler-based 3D print),Naturalistic,3D-printed canopy patterns,Pair based on Holldobler canopies to replicate 2023 task,Left pattern rewarding
perpParaPostNatcan_090925,09/09/2025,2025,Perpendicular-parallel stripes (post-naturalistic),Artificial,Electrical tape on LEE UV transparent film,Post-naturalistic control run with artificial stripes,Left pattern (parallel stripes) rewarding
natcan3_190925,19/09/2025,2025,Naturalistic canopy pair 3 repeat (extended),Naturalistic,3D-printed canopy patterns,Repeat of natcan3_080825 with longer run,Left canopy (P1010026) rewarding
